Gene symbol	Entrez gene ID	Description	RefSeq accession	Molecular class	empty
NUBP2	10101	Nucleotide binding protein 2	NP_036357.1	Unclassified	
NUDT14	256281	Nudix type motif 14	NP_803877.2	Enzyme: Hydrolase	
NUDT15	55270	Nudix type motif 15	NP_060753.1	Enzyme: Hydrolase	
NUDT3	11165	Nudix type motif 3	NP_006694.1	Enzyme: Hydrolase	
NUDT4	11163	Nudix (nucleoside diphosphate linked moiety X)-type motif 4	NP_950241.1	Unclassified	
NUDT4	11163	Nudix (nucleoside diphosphate linked moiety X)-type motif 4	NP_061967.3	Unclassified	
NUDT5	11164	Nudix type motif 5	NP_054861.2	Enzyme: Hydrolase	
NUP210L	91181	Nucleoporin 210kDa-like	NP_997191.2	Unclassified	
NUP37	79023	NUP37	NP_076962.2	Transport/cargo protein	
NUP93	9688	Nucleoporin 93kDa	NP_055484.3	Membrane transport protein	
NUPL2	11097	NUPL2	NP_031368.1	Transport/cargo protein	
SPERT	220082	Testis specific leucine zipper protein nurit	NP_689932.1	Unclassified	
NUSAP1	51203	Nucleolar and spindle associated protein 1	AAK28023.1	Cell cycle control protein	
NUSAP1	51203	Nucleolar and spindle associated protein 1	NP_057443.2	Cell cycle control protein	
NUSAP1	51203	Nucleolar and spindle associated protein 1	NP_060924.4	Cell cycle control protein	
NUSAP1	51203	Nucleolar and spindle associated protein 1	NP_001123369.1	Cell cycle control protein	
NXN	64359	Nucleoredoxin	NP_071908.2	Enzyme: Oxidoreductase	
CCDC18	343099	Coiled-coil domain containing 18	BAC86410.1	T cell antigen receptor	
CCDC18	343099	Coiled-coil domain containing 18	NP_996769.2	T cell antigen receptor	
CCDC54	84692	NYD-SP17 protein	NP_115989.1	Unclassified	
FAM71F1	84691	NYD-SP18 protien	NP_115988.1	Unclassified	
SPATA22	84690	NYD-SP20 protein	NP_115987.1	Unclassified	
MS4A14	84689	NYD-SP21 protein	NP_115986.3	Unclassified	
MS4A14	84689	NYD-SP21 protein	NP_001073160.1	Unclassified	
TPD52L3	89882	Tumor protein D52-like 3	NP_277051.3	Unclassified	
TPD52L3	89882	Tumor protein D52-like 3	NP_001001874.1	Unclassified	
TPD52L3	89882	Tumor protein D52-like 3	NP_001001875.1	Unclassified	
C4orf35	85438	NYD-SP26 protein	NP_149113.3	Unclassified	
TTC29	83894	NYD-SP14 protein	NP_114162.2	Unclassified	
CCDC65	85478	NYD-SP28 protein	NP_149115.2	Unclassified	
CCDC34	91057	Coiled-coil domain containing 34	NP_542385.1	Unclassified	
CCDC34	91057	Coiled-coil domain containing 34	NP_110398.1	Unclassified	
CCDC41	51134	NY-REN-58 antigen	NP_057206.2	Unclassified	
CCDC41	51134	NY-REN-58 antigen	NP_001035858.1	Unclassified	
FAM153A	285596	NY-REN-7 antigen	NP_775934.3	Unclassified	
NRG4	145957	Neuregulin 4	NP_612640.1	Growth factor	
OBFC1	79991	OBFC1	NP_079204.2	Unclassified	
OCIAD2	132299	OCIA domain containing 2	NP_689611.1	Unclassified	
OCIAD2	132299	OCIA domain containing 2	NP_001014446.1	Unclassified	
ODZ3	55714	ODZ3 like protein	BAA91633.1	Integral membrane protein	
ODZ3	55714	ODZ3 like protein	NP_001073946.1	Integral membrane protein	
OGFRL1	79627	Opioid growth factor receptor like 1	NP_078852.3	Unclassified	
OLFML2A	169611	Olfactomedin like 2A	NP_872293.2	Unclassified	
OLFML2B	25903	Olfactomedin-like 2B	NP_056256.1	Unclassified	
OLFML3	56944	Olfactomedin like 3	NP_064575.1	Extracellular matrix protein	
OMA1	115209	"OMA1 homolog, zinc metallopeptidase"	NP_660286.1	Metallo protease	
OPLAH	26873	5-oxoprolinase ATP hydrolysing	NP_060040.1	Enzyme: Hydrolase	
OR10A3	26496	Olfactory receptor 10A3	NP_001003745.1	G protein coupled receptor	
OR10A6	390093	"Olfactory receptor, family 10, subfamily A, member 6"	NP_001004461.1	G protein coupled receptor	
OR10A7	121364	Olfactory receptor family 10 subfamily A member 7	NP_001005280.1	G protein coupled receptor	
OR10AG1	282770	Olfactory receptor family 10 subfamily AG member 1	NP_001005491.1	G protein coupled receptor	
OR10C1	442194	Olfactory receptor 10C1	NP_039229.2	G protein coupled receptor	
OR10G2	26534	Olfactory receptor family10 subfamily G member 2	NP_001005466.1	G protein coupled receptor	
OR10G3	26533	Olfactory receptor family 10 subfamily G member 3	NP_001005465.1	G protein coupled receptor	
OR10G4	390264	Olfactory receptor 10G4	NP_001004462.1	G protein coupled receptor	
OR10G7	390265	"Olfactory receptor, family 10, subfamily G, member 7"	NP_001004463.1	G protein coupled receptor	
OR10H4	126541	Olfactory receptor family 10 subfamily H member 4	NP_001004465.1	G protein coupled receptor	
OR10J5	127385	Olfactory receptor family 10 subfamily J member 5	NP_001004469.1	G protein coupled receptor	
OR10K1	391109	Olfactory receptor family 10 subfamily K member 1	NP_001004473.1	G protein coupled receptor	
OR10K2	391107	Olfactory receptor family 10 subfamily K member 2	NP_001004476.1	G protein coupled receptor	
OR10P1	121130	"Olfactory receptor, family 10, subfamily P, member 1"	NP_996782.1	G protein coupled receptor	
OR10T2	128360	Olfactory receptor family 10 subfamily T member 2	NP_001004475.1	G protein coupled receptor	
OR10X1	128367	Olfactory receptor family 10 subfamily X member 1	NP_001004477.1	G protein coupled receptor	
OR10Z1	128368	Olfactory receptor family 10 subfamily Z member 1	NP_001004478.1	G protein coupled receptor	
OR11A1	26531	"Olfactory receptor, family 11, subfamily A, member 1"	NP_039225.1	G protein coupled receptor	
OR11G2	390439	Olfactory receptor 11G2	NP_001005503.1	G protein coupled receptor	
OR11H1	81061	Olfactory receptor OR22-1	NP_001005239.1	G protein coupled receptor	
OR11H4	390442	Olfactory receptor 11H4	NP_001004479.1	G protein coupled receptor	
OR11H6	122748	Olfactory receptor family 11 subfamily H member 6	NP_001004480.1	G protein coupled receptor	
OR13A1	79290	Olfactory receptor family 13 subfamily A member 1	NP_001004297.2	G protein coupled receptor	
OR13C2	392376	Olfactory receptor 13C2	NP_001004481.1	G protein coupled receptor	
OR13C3	138803	Olfactory receptor 13C3	NP_001001961.1	G protein coupled receptor	
OR13C5	138799	Olfactory receptor 13C5	NP_001004482.1	G protein coupled receptor	
OR13C8	138802	Olfactory receptor 13C8	NP_001004483.1	G protein coupled receptor	
OR13C9	286362	"Olfactory receptor, family 13, subfamily C, member 9"	NP_001001956.1	G protein coupled receptor	
OR13D1	286365	Olfactory receptor 13D1	NP_001004484.1	G protein coupled receptor	
OR13F1	138805	Olfactory receptor family 13 subfamily F member 1	NP_001004485.1	G protein coupled receptor	
OR13J1	392309	Olfactory receptor 13J1	NP_001004487.1	G protein coupled receptor	
OR1B1	347169	Olfactory receptor 1B1	NP_001004450.1	G protein coupled receptor	
OR1C1	26188	Olfactory receptor family 1 subfamily C member 1	NP_036485.2	G protein coupled receptor	
OR1I1	126370	Olfactory receptor family 1 subfamily I member 1	NP_001004713.1	G protein coupled receptor	
OR1J1	347168	Olfactory receptor family 1 subfamily J member 1	NP_001004451.1	G protein coupled receptor	
OR1J2	26740	Olfactory receptor family 1 subfamily J member 2	NP_473448.1	G protein coupled receptor	
OR1J4	26219	Olfactory receptor family 1 subfamily J member 4	NP_001004452.1	G protein coupled receptor	
OR1K1	392392	Olfactory receptor family 1 subfamily K member 1	NP_543135.1	G protein coupled receptor	
OR1L1	26737	Olfactory receptor family 1 subfamily L member 1	NP_001005236.3	G protein coupled receptor	
OR1L3	26735	Olfactory receptor 1L3	NP_001005234.1	G protein coupled receptor	
OR1L4	254973	Olfactory receptor family 1 subfamily L member 4	NP_001005235.1	G protein coupled receptor	
OR1L8	138881	Olfactory receptor 1L8	NP_001004454.1	G protein coupled receptor	
OR1N1	138883	Olfactory receptor family 1 subfamily N member 1	NP_036495.1	G protein coupled receptor	
OR1N2	138882	Olfactory receptor family 1 subfamily N member 2	NP_001004457.1	G protein coupled receptor	
OR1Q1	158131	Olfactory receptor 1Q1	NP_036496.1	G protein coupled receptor	
OR1S2	219958	"Olfactory receptor, family 1, subfamily S, member 2"	NP_001004459.1	G protein coupled receptor	
OR2A1	346528	"Olfactory receptor, family 2, subfamily A, member 1"	NP_001005287.1	G protein coupled receptor	
OR2A12	346525	"Olfactory receptor, family 2, subfamily A, member 12"	NP_001004135.1	G protein coupled receptor	
OR2A14	135941	Olfactory receptor family 2 subfamily A member 14	NP_001001659.1	G protein coupled receptor	
OR2A2	442361	Olfactory receptor family 2 subfamily A member 2	NP_001005480.2	G protein coupled receptor	
OR2A5	393046	OR2A5	NP_036497.1	G protein coupled receptor	
OR2A7	401427	Olfactory receptor family 2 subfamily A member 7	NP_001005328.1	G protein coupled receptor	
OR2AE1	81392	Olfactory receptor family 2 subfamily AE member 1	NP_001005276.1	G protein coupled receptor	
OR2AG1	144125	Olfactory receptor 2AG1	NP_001004489.1	G protein coupled receptor	
OR2AG2	338755	Olfactory receptor family 2 subfamily AG member 2	NP_001004490.1	G protein coupled receptor	
OR2B11	127623	OR2B11	NP_001004492.1	G protein coupled receptor	
OR2B3	442184	Olfactory receptor family 2 subfamily B member 3	NP_001005226.1	G protein coupled receptor	
OR2F2	135948	Olfactory receptor 2F2	NP_001004685.1	G protein coupled receptor	
OR2G3	81469	Olfactory receptor family 2 subfamily G member 3	NP_001001914.1	G protein coupled receptor	
OR2J3	442186	Olfactory receptor family 2 subfamily J member 3	NP_001005216.2	G protein coupled receptor	
OR2L2	26246	Olfactory receptor family 2 subfamily L member 2	NP_001004686.1	G protein coupled receptor	
OR2L3	391192	OR2L3	NP_001004687.1	G protein coupled receptor	
OR2L8	391190	Olfactory receptor family 2 subfamily L member 8	NP_001001963.1	G protein coupled receptor	
OR2M3	127062	Olfactory receptor family 2 subfamily M member 3	NP_001004689.1	G protein coupled receptor	
OR2M4	26245	Olfactory receptor family 2 subfamily member 4	NP_059974.1	G protein coupled receptor	
OR2M5	127059	Olfactory receptor family 2 subfamily M member 5	NP_001004690.1	G protein coupled receptor	
OR2M7	391196	Olfactory receptor 2M7	NP_001004691.1	G protein coupled receptor	
OR2T1	26696	Olfactory receptor 2T1	NP_112166.1	G protein coupled receptor	
OR2T10	127069	Olfactory receptor family 2 subfamily T member 10	NP_001004693.1	G protein coupled receptor	
OR2T12	127064	Olfactory receptor family 2 subfamily T member 12	NP_001004692.1	G protein coupled receptor	
OR2T27	403239	Olfactory receptor family 2 subfamily T member 27	NP_001001824.1	G protein coupled receptor	
OR2T33	391195	Olfactory receptor OR1-56	NP_001004695.1	G protein coupled receptor	
OR2T34	127068	Olfactory receptor family 2 subfamily T member 34	NP_001001821.1	G protein coupled receptor	
OR2T4	127074	Olfactory receptor family 2 subfamily T member 4	NP_001004696.1	G protein coupled receptor	
OR2V2	285659	Olfactory receptor family 2 subfamily V member 2	NP_996763.1	G protein coupled receptor	
OR3A4	390756	Olfactory receptor family 3 subfamily A member 4	NP_001005334.1	G protein coupled receptor	
OR4A15	81328	Olfactory receptor family 4 subfamily A member 15	NP_001005275.1	G protein coupled receptor	
OR4A16	81327	"Olfactory receptor, family 4, subfamily A, member 16"	NP_001005274.1	G protein coupled receptor	
OR4B1	119765	Olfactory receptor family 4 subfamily B member 1	NP_001005470.1	G protein coupled receptor	
OR4C11	219429	OR4C11P	NP_001004700.1	G protein coupled receptor	
OR4C12	283093	Olfactory receptor 4C12	NP_001005270.1	G protein coupled receptor	
OR4C15	81309	Olfactory receptor family 4 subfamily C member 15	NP_001001920.1	G protein coupled receptor	
OR4C46	119749	Olfactory receptor family 4 subfamily C member 46	NP_001004703.1	G protein coupled receptor	
OR4D1	26689	Olfactory receptor 4D1	NP_036506.1	G protein coupled receptor	
OR4D10	390197	Olfactory receptor 4D10	NP_001004705.1	G protein coupled receptor	
OR4D2	124538	Olfactory receptor family 4 subfamily D member 2	NP_001004707.1	G protein coupled receptor	
OR4F15	390649	Olfactory receptor family 4 subfamily F member 15	NP_001001674.1	G protein coupled receptor	
OR4F16	81399	"Olfactory receptor, family 4, subfamily F, member 16"	NP_001005277.1	G protein coupled receptor	
OR4F17	81099	Olfactory receptor family 4 subfamily F member 17	NP_001005240.1	G protein coupled receptor	
OR4F29	135896	Olfactory receptor 4F29	NP_001005221.2	-	
OR4F3	26683	Olfactory receptor 4F3	NP_001005224.1	G protein coupled receptor	
OR4F4	26682	Olfactory receptor 4F4	NP_001004195.2	G protein coupled receptor	
OR4F5	79501	Olfactory receptor family 4 subfamily F member 5	NP_001005484.1	G protein coupled receptor	
OR4K1	79544	Olfactory receptor family 4 subfamily K member 1	NP_001004063.1	G protein coupled receptor	
OR4K13	390433	Olfactory receptor family 4 subfamily K member 13	NP_001004714.1	G protein coupled receptor	
OR4K14	122740	Olfactory receptor family 4 subfamily K member 14	NP_001004712.1	G protein coupled receptor	
OR4K15	81127	Olfactory receptor family 4 subfamily K member 15	NP_001005486.1	G protein coupled receptor	
OR4K17	390436	Olfactory receptor family 4 subfamily K member 17	NP_001004715.1	G protein coupled receptor	
OR4K2	390431	Olfactory receptor family 4 subfamily K member 2	NP_001005501.1	G protein coupled receptor	
OR4K5	79317	Olfactory receptor family 4 subfamily K member 5	NP_001005483.1	G protein coupled receptor	
OR4L1	122742	Olfactory receptor family 4 subfamily L member 1	NP_001004717.1	G protein coupled receptor	
OR4M1	441670	Olfactory receptor family 4 subfamily M member 1	NP_001005500.1	G protein coupled receptor	
OR4M2	390538	Olfactory receptor family 4 subfamily M member 2	NP_001004719.1	G protein coupled receptor	
OR4N5	390437	Olfactory receptor family 4 subfamily N member 5	NP_001004724.1	G protein coupled receptor	
OR4P4	81300	Olfactory receptor family 4 subfamily P member 4	NP_001004124.1	G protein coupled receptor	
OR4S1	256148	Olfactory receptor 4S1	NP_001004725.1	G protein coupled receptor	
OR4S2	219431	Olfactory receptor family 4 subfamily S member 2	NP_001004059.2	G protein coupled receptor	
OR4X1	390113	"Olfactory receptor, family 4, subfamily X, member 1"	NP_001004726.1	G protein coupled receptor	
OR4X2	119764	Olfactory receptor 4X2	NP_001004727.1	G protein coupled receptor	
OR51A4	401666	"Olfactory receptor, family 51, subfamily A, member 4"	NP_001005329.1	G protein coupled receptor	
OR51A7	119687	Olfactory receptor family 51 subfamily A member 7	NP_001004749.1	G protein coupled receptor	
OR51B5	282763	Olfactory receptor family 51 subfamily B member 5	NP_001005567.1	G protein coupled receptor	
OR51B6	390058	"Olfactory receptor, family 51, subfamily B, member 6"	NP_001004750.1	G protein coupled receptor	
OR51D1	390038	Olfactory receptor OR11-14	NP_001004751.1	G protein coupled receptor	
OR51E1	143503	"Olfactory receptor, family 51, subfamily E, member 1"	NP_689643.2	G protein coupled receptor	
OR51G1	79324	Olfactory receptor family 51 subfamily G member 1	NP_001005237.1	G protein coupled receptor	
OR51G2	81282	Olfactory receptor family 51 subfamily G member 2	NP_001005238.1	G protein coupled receptor	
OR51I1	390063	"Olfactory receptor, family 51, subfamily I, member 1"	NP_001005288.1	G protein coupled receptor	
OR51I2	390064	"Olfactory receptor, family 51, subfamily I, member 2"	NP_001004754.1	G protein coupled receptor	
NHSL2	340527	Similar to Nance Horan syndrome protein	NP_001013649.1	Unclassified	
OR51M1	390059	Olfactory receptor family 51 subfamily M member 1	NP_001004756.1	G protein coupled receptor	
OR51Q1	390061	"Olfactory receptor, family 51, subfamily Q, member 1"	NP_001004757.1	G protein coupled receptor	
OR52A4	390053	"Olfactory receptor, family 52, subfamily A, member 4"	NP_001005222.1	G protein coupled receptor	
OR52A5	390054	"Olfactory receptor, family 52, subfamily A, member 5"	NP_001005160.1	G protein coupled receptor	
OR52B2	255725	Olfactory receptor family 52 subfamily B member 2	NP_001004052.1	G protein coupled receptor	
OR52B4	143496	Olfactory receptor family 52 subfamily B member 4	NP_001005161.2	G protein coupled receptor	
OR52D1	390066	Olfactory receptor family 52 subfamily D member 1	NP_001005163.1	G protein coupled receptor	
OR52E2	119678	Olfactory receptor family 52 subfamily E member 2	NP_001005164.1	G protein coupled receptor	
OR52E4	390081	"Olfactory receptor, family 52, subfamily E, member 4"	NP_001005165.1	G protein coupled receptor	
OR52E5	390082	Olfactory receptor 52E5	NP_001005166.1	-	
OR52E6	390078	Olfactory receptor 52E6	NP_001005167.1	G protein coupled receptor	
OR52E8	390079	"Olfactory receptor, family 52, subfamily E, member 8"	NP_001005168.1	G protein coupled receptor	
OR52H1	390067	Olfactory receptor family 52 subfamily H member 1	NP_001005289.1	G protein coupled receptor	
OR52I1	390037	"Olfactory receptor, family 52, subfamily I, member 1"	NP_001005169.1	G protein coupled receptor	
OR52I2	143502	Olfactory receptor 52I2	NP_001005170.1	G protein coupled receptor	
OR52J3	119679	Olfactory receptor 52J3	NP_001001916.2	G protein coupled receptor	
OR52K1	390036	"Olfactory receptor, family 52, subfamily K, member 1"	NP_001005171.1	G protein coupled receptor	
OR52K2	119774	Olfactory receptor family 52 subfamily K member 2	NP_001005172.1	G protein coupled receptor	
OR52M1	119772	Olfactory receptor family 52 subfamily M member 1	NP_001004137.1	G protein coupled receptor	
OR52N1	79473	Olfactory receptor family 52 subfamily N member 1	NP_001001913.1	G protein coupled receptor	
OR52N4	390072	"Olfactory receptor, family 52, subfamily N, member 4"	NP_001005175.2	G protein coupled receptor	
OR52N5	390075	"Olfactory receptor, family 52, subfamily N, member 5"	NP_001001922.1	G protein coupled receptor	
OR52R1	119695	Olfactory receptor family 52 subfamily R member 1	NP_001005177.2	G protein coupled receptor	
OR52W1	120787	Olfactory receptor family 52 subfamily W member 1	NP_001005178.1	G protein coupled receptor	
OR56A4	120793	Olfactory receptor family 56 subfamily A member 4	NP_001005179.2	G protein coupled receptor	
OR56B4	196335	Olfactory receptor family 56 subfamily B member 4	NP_001005181.1	G protein coupled receptor	
OR5A1	219982	Olfactory receptor family 5 subfamily A member 1	NP_001004728.1	G protein coupled receptor	
OR5A2	219981	Olfactory receptor family 5 subfamily A member 2	NP_001001954.1	G protein coupled receptor	
OR5AC2	81050	Olfactory receptor family 5 subfamily AC member 2	NP_473447.1	G protein coupled receptor	
OR5AK2	390181	Olfactory receptor 5AK2	NP_001005323.1	G protein coupled receptor	
OR5AN1	390195	"Olfactory receptor, family 5, subfamily AN, member 1"	NP_001004729.1	G protein coupled receptor	
OR14A16	284532	Olfactory receptor OR1 45 Olfactory receptor 5AT1	NP_001001966.1	G protein coupled receptor	
OR5AU1	390445	Olfactory receptor family 5 subfamily AU member 1	NP_001004731.1	G protein coupled receptor	
OR5B12	390191	"Olfactory receptor, family 5, subfamily B, member 12"	NP_001004733.1	G protein coupled receptor	
OR5B17	219965	Olfactory receptor family 5 subfamily B member 17	NP_001005489.1	G protein coupled receptor	
OR5B2	390190	"Olfactory receptor, family 5, subfamily B, member 2"	NP_001005566.1	G protein coupled receptor	
OR5B3	441608	Olfactory receptor family 5 subfamily B member 3	NP_001005469.1	G protein coupled receptor	
OR5C1	392391	Olfactory receptor family 5 subfamily C member 1	NP_001001923.1	G protein coupled receptor	
OR5D13	390142	Olfactory receptor 5D13	NP_001001967.1	G protein coupled receptor	
OR5H14	403273	Olfactory receptor family 5 subfamily H member 14	NP_001005514.1	G protein coupled receptor	
OR5H2	79310	Olfactory receptor family 5 subfamily H member 2	NP_001005482.1	G protein coupled receptor	
OR5K1	26339	Olfactory receptor family 5 subfamily K member 1	NP_001004736.2	G protein coupled receptor	
OR5K2	402135	Olfactory receptor family 5 subfamily K member 2	NP_001004737.1	G protein coupled receptor	
OR5L1	219437	Olfactory receptor 5L1	NP_001004738.1	G protein coupled receptor	
OR5L2	26338	Olfactory receptor 5L2	NP_001004739.1	G protein coupled receptor	
OR5M10	390167	"Olfactory receptor, family 5, subfamily M, member 10"	NP_001004741.1	G protein coupled receptor	
OR5M9	390162	Olfactory receptor family 5 subfamily M member 9	NP_001004743.1	G protein coupled receptor	
OR5R1	219479	"Olfactory receptor, family 5, subfamily R, member 1"	NP_001004744.1	G protein coupled receptor	
OR5T1	390155	"Olfactory receptor, family 5, subfamily T, member 1"	NP_001004745.1	G protein coupled receptor	
OR5T2	219464	Olfactory receptor 5T2	NP_001004746.1	G protein coupled receptor	
OR5T3	390154	"Olfactory receptor, family 5, subfamily T, member 3"	NP_001004747.1	G protein coupled receptor	
OR14J1	442191	Olfactory receptor family 5 subfamily U member 1	NP_112208.1	G protein coupled receptor	
OR5W2	390148	"Olfactory receptor, family 5, subfamily W, member 2"	NP_001001960.1	G protein coupled receptor	
OR6B1	135946	Olfactory receptor 6B1	NP_001005281.1	G protein coupled receptor	
OR6B2	389090	"Olfactory receptor, family 6, subfamily B, member 2"	NP_001005853.1	G protein coupled receptor	
OR6C3	254786	Olfactory receptor 6C3	NP_473445.1	G protein coupled receptor	
OR6C65	403282	"Olfactory receptor, family 6, subfamily C, member 65"	NP_001005518.1	G protein coupled receptor	
OR6C70	390327	Olfactory receptor family 6 subfamily C member 70	NP_001005499.1	G protein coupled receptor	
OR6C74	254783	Olfactory receptor family 6 subfamily C member 74	NP_001005490.1	G protein coupled receptor	
OR6C75	390323	Olfactory receptor family 6 subfamily C member 75	NP_001005497.1	G protein coupled receptor	
OR6C76	390326	Olfactory receptor family 6 subfamily C member 76	NP_001005183.1	G protein coupled receptor	
OR6K2	81448	Olfactory receptor family 6 subfamily K member 2	NP_001005279.1	G protein coupled receptor	
OR6K3	391114	Olfactory receptor family 6 subfamily K member 3	NP_001005327.1	G protein coupled receptor	
OR6M1	390261	"Olfactory receptor, family 6, subfamily M, member 1"	NP_001005325.1	G protein coupled receptor	
OR6N1	128372	"Olfactory receptor, family 6, subfamily N, member 1"	NP_001005185.1	G protein coupled receptor	
OR6N2	81442	Olfactory receptor 6N2	NP_001005278.1	G protein coupled receptor	
OR6Q1	219952	"Olfactory receptor family 6, subfamily Q, member 1"	NP_001005186.2	G protein coupled receptor	
OR6T1	219874	Olfactory receptor family 6 subfamily T member 1	NP_001005187.1	G protein coupled receptor	
OR6X1	390260	Olfactory receptor 6X1	NP_001005188.1	G protein coupled receptor	
OR6Y1	391112	Olfactory receptor family 6 subfamily Y member 1	NP_001005189.1	G protein coupled receptor	
OR7C2	26658	"Olfactory receptor, family 7, subfamily C, member 2"	NP_036509.1	G protein coupled receptor	
OR7D4	125958	Olfactory receptor family 7 subfamily D member 4	NP_001005191.1	G protein coupled receptor	
OR7G1	125962	Olfactory receptor family 7 subfamily G member 1	NP_001005192.1	G protein coupled receptor	
OR7G2	390882	Olfactory receptor family 7 subfamily G member 2	NP_001005193.1	G protein coupled receptor	
OR7G3	390883	"Olfactory receptor, family 7, subfamily G, member 3"	NP_001001958.1	G protein coupled receptor	
OR8A1	390275	"Olfactory receptor, family 8, subfamily A, member 1"	NP_001005194.1	G protein coupled receptor	
OR8B2	26595	Olfactory receptor family 8 subfamily B member 2	NP_001005468.1	G protein coupled receptor	
OR8B3	390271	Olfactory receptor 8B3	NP_001005467.1	G protein coupled receptor	
OR8B8	26493	"Olfactory receptor, family 8, subfamily B, member 8"	DAA04894.1	G protein coupled receptor	
OR8B8	26493	"Olfactory receptor, family 8, subfamily B, member 8"	NP_036510.1	G protein coupled receptor	
OR8D2	283160	"Olfactory receptor, family 8, subfamily D, member 2"	NP_001002918.1	G protein coupled receptor	
OR8G1	26494	Olfactory receptor family 8 subfamily G member 1	NP_001002905.1	G protein coupled receptor	
OR8H2	390151	Olfactory receptor 8H2	NP_001005200.1	G protein coupled receptor	
OR8I2	120586	Olfactory receptor family 8 subfamily I member 2	NP_001003750.1	G protein coupled receptor	
OR8J3	81168	Olfactory receptor family 8 subfamily J member 3	NP_001004064.1	G protein coupled receptor	
OR8K1	390157	"Olfactory receptor, family 8, subfamily K, member 1"	NP_001002907.1	G protein coupled receptor	
OR8S1	341568	Olfactory receptor family 8 subfamily S member 1	NP_001005203.2	G protein coupled receptor	
OR9A2	135924	Olfactory receptor 9A2	NP_001001658.1	G protein coupled receptor	
OR9G1	390174	"Olfactory receptor, family 9, subfamily G, member 1"	NP_001005213.1	G protein coupled receptor	
OR9K2	441639	Olfactory receptor family 9 subfamily K member 2	NP_001005243.1	G protein coupled receptor	
C5orf32	84418	Putative nuclear protein ORF1-FL49	NP_115788.1	Unclassified	
ORMDL1	94101	ORM1 like 1	NP_057551.1	Integral membrane protein	
ORMDL1	94101	ORM1 like 1	NP_001121622.1	Integral membrane protein	
OXCT2	64064	3-Oxoacid CoA transferase 2	NP_071403.1	Enzyme: Transferase	
GATAD2B	57459	GATA zinc finger domain containing 2B	NP_065750.1	Transcription regulatory protein	
PADI6	353238	Peptidylarginine deiminase type 6	NP_997304.3	Enzyme: Hydrolase	
POLR1E	64425	RNA polymerase I associated factor 53	NP_071935.1	Transcription factor	
MTPAP	55149	PAP associated domain containing 1	NP_060579.3	RNA polymerase	
PAPD4	167153	PAP associated domain containing 4	NP_776158.2	Unclassified	
PAPD4	167153	PAP associated domain containing 4	NP_001107865.1	Unclassified	
PAPD4	167153	PAP associated domain containing 4	NP_001107866.1	Unclassified	
PAPLN	89932	"Papilin, proteoglycan-like sulfated glycoprotein"	NP_775733.3	Metallo protease	
PARP10	84875	PARP10	NP_116178.2	Unclassified	
PARP11	57097	"Poly (ADP 6-ribose) polymerase family, member 11"	NP_065100.2	Cysteine protease	
PARP6	56965	"Poly (ADP-ribose) polymerase family, member 6"	NP_064599.2	DNA repair protein	
PARP6	56965	"Poly (ADP-ribose) polymerase family, member 6"	NP_064598.1	DNA repair protein	
CDHR2	54825	Protocadherin LKC	NP_060145.2	Adhesion molecule	
PCDH17	27253	Protocadherin 17	AAH28165.1	Adhesion molecule	
PCDH17	27253	Protocadherin 17	NP_055274.2	Adhesion molecule	
PCDH17	27253	Protocadherin 17	NP_001035519.1	Adhesion molecule	
PCDH20	64881	Protocadherin 20	CAD38690.1	Adhesion molecule	
PCDH20	64881	Protocadherin 20	NP_073754.2	Adhesion molecule	
CDHR1	92211	Protocadherin 21	NP_149091.1	Adhesion molecule	
DDA1	79016	Cross immune reaction antigen PCIA1	NP_076955.1	Unclassified	
PCNXL2	80003	Pecanex-like 2	NP_055616.3	Unclassified	
PCNXL2	80003	Pecanex-like 2	NP_079214.2	Unclassified	
PDCL2	132954	Phosducin like 2	NP_689614.2	Unclassified	
PDIK1L	149420	PDLIM1 interacting kinase 1 like	NP_690048.1	Serine/threonine kinase	
PDILT	204474	Protein disulfide isomerase like protein of the testi	NP_777584.1	Unclassified	
PDP2	57546	Pyruvate dehydrogenase phosphatase isoenzyme 2	NP_065837.1	Serine/threonine phosphatase	
INTU	27152	PDZ domain containing 6	NP_056508.2	Unclassified	
PDZD7	79955	PDZ domain containing 7	NP_079171.1	Unclassified	
PDZRN3	23024	PDZ domain containing RING finger 3	NP_055824.1	Unclassified	
PDZRN4	29951	PDZ domain containing RING finger 4	NP_037509.3	Unclassified	
PEG10	23089	Paternally expressed 10	BAB68387.1	Cell cycle control protein	
PEG10	23089	Paternally expressed 10	NP_001035242.1	Cell cycle control protein	
PEG10	23089	Paternally expressed 10	NP_055883.2	Cell cycle control protein	
PGAP3	93210	CAB2 protein	NP_219487.3	Integral membrane protein	
N4BP2L2	10443	Phosphonoformate immuno associated protein 5	NP_055702.1	Unclassified	
PFN4	375189	Profilin family member 4	NP_955378.1	Unclassified	
CDK14	5218	PFTAIRE protein kinase 1	NP_036527.1	Serine/threonine kinase	
PHAX	51808	RNA U small nuclear RNA export adapter protein	NP_115553.2	RNA binding protein	
PHF12	57649	PHD finger protein 12	NP_065940.1	Transcription regulatory protein	
PHF12	57649	PHD finger protein 12	NP_001028733.1	Transcription regulatory protein	
PHF15	23338	PHD finger protein 15	NP_056103.4	Transcription regulatory protein	
PHF20L1	51105	PHD finger protein 20-like 1	NP_057102.4	Unclassified	
PHF20L1	51105	PHD finger protein 20-like 1	NP_079154.1	Unclassified	
